"","sch.year","district.id","district.name","pct"
"1","2013",30,"Adair County School District",33.54
"2","2013",70,"Allen County School District",28.56
"3","2013",90,"Anchorage Independent School District",8.18
"4","2013",120,"Anderson County School District",16.43
"5","2013",150,"Ashland Independent School District",26.95
"6","2013",180,"Augusta Independent School District",21.65
"7","2013",210,"Ballard County School District",23.07
"8","2013",240,"Barbourville Independent School District",47.95
"9","2013",270,"Bardstown Independent School District",25.4
"10","2013",300,"Barren County School District",20.88
"11","2013",330,"Bath County School District",34.09
"12","2013",360,"Beechwood Independent School District",8.41
"13","2013",390,"Bell County School District",40.93
"14","2013",420,"Bellevue Independent School District",23.2
"15","2013",480,"Berea Independent School District",23.59
"16","2013",510,"Boone County School District",10.51
"17","2013",540,"Bourbon County School District",21.03
"18","2013",570,"Bowling Green Independent School District",32.03
"19","2013",620,"Boyd County School District",20.08
"20","2013",630,"Boyle County School District",18.27
"21","2013",660,"Bracken County School District",22.14
"22","2013",690,"Breathitt County School District",38.13
"23","2013",720,"Breckinridge County School District",25.41
"24","2013",750,"Bullitt County School District",13.8
"25","2013",780,"Burgin Independent School District",21.58
"26","2013",810,"Butler County School District",30.53
"27","2013",840,"Caldwell County School District",26.78
"28","2013",870,"Calloway County School District",21.88
"29","2013",900,"Campbell County School District",11.86
"30","2013",930,"Campbellsville Independent School District",44.93
"31","2013",960,"Carlisle County School District",25.21
"32","2013",990,"Carroll County School District",31.09
"33","2013",1020,"Carter County School District",29.54
"34","2013",1050,"Casey County School District",39.84
"35","2013",1110,"Caverna Independent School District",34.05
"36","2013",1150,"Christian County School District",26.38
"37","2013",1200,"Clark County School District",23.23
"38","2013",1230,"Clay County School District",47.72
"39","2013",1260,"Clinton County School District",34.59
"40","2013",1290,"Cloverport Independent School District",27.53
"41","2013",1320,"Corbin Independent School District",29.15
"42","2013",1350,"Covington Independent School District",42.39
"43","2013",1380,"Crittenden County School District",31.6
"44","2013",1410,"Cumberland County School District",37.52
"45","2013",1440,"Danville Independent School District",26.14
"46","2013",1470,"Daviess County School District",14.25
"47","2013",1500,"Dawson Springs Independent School District",35.11
"48","2013",1530,"Dayton Independent School District",41.64
"49","2013",1590,"East Bernstadt Independent School District",31.06
"50","2013",1620,"Edmonson County School District",26.81
"51","2013",1650,"Elizabethtown Independent School District",28.14
"52","2013",1680,"Elliott County School District",32.24
"53","2013",1710,"Eminence Independent School District",25.37
"54","2013",1740,"Erlanger-Elsmere Independent School District",25.61
"55","2013",1760,"Estill County School District",35.7
"56","2013",1800,"Fairview Independent School District",39.59
"57","2013",1860,"Fayette County School District",20.38
"58","2013",1920,"Fleming County School District",29.56
"59","2013",1950,"Floyd County School District",36.54
"60","2013",78,"Fort Campbell Dependent Schools",23.46
"61","2013",79,"Fort Knox Dependent Schools",13.98
"62","2013",2040,"Fort Thomas Independent School District",8.35
"63","2013",1980,"Frankfort Independent School District",49.16
"64","2013",2010,"Franklin County School District",20.71
"65","2013",2100,"Fulton County School District",38.87
"66","2013",2070,"Fulton Independent School District",53.56
"67","2013",2130,"Gallatin County School District",21.59
"68","2013",2160,"Garrard County School District",26.19
"69","2013",2220,"Glasgow Independent School District",32.86
"70","2013",2250,"Grant County School District",26.28
"71","2013",2280,"Graves County School District",21.48
"72","2013",2300,"Grayson County School District",30.25
"73","2013",2340,"Green County School District",27.66
"74","2013",2400,"Greenup County School District",26.06
"75","2013",2460,"Hancock County School District",17.98
"76","2013",2490,"Hardin County School District",18.75
"77","2013",2540,"Harlan County School District",35.89
"78","2013",2520,"Harlan Independent School District",36.25
"79","2013",2580,"Harrison County School District",22.58
"80","2013",2640,"Hart County School District",35.25
"81","2013",2670,"Hazard Independent School District",39.11
"82","2013",2710,"Henderson County School District",23.89
"83","2013",2760,"Henry County School District",18.93
"84","2013",2790,"Hickman County School District",26.09
"85","2013",2860,"Hopkins County School District",23.52
"86","2013",2940,"Jackson County School District",38.7
"87","2013",2910,"Jackson Independent School District",51.95
"88","2013",2990,"Jefferson County School District",20.33
"89","2013",3000,"Jenkins Independent School District",39.5
"90","2013",3030,"Jessamine County School District",19.68
"91","2013",3060,"Johnson County School District",29.67
"92","2013",3090,"Kenton County School District",10.7
"93","2013",3120,"Knott County School District",35.83
"94","2013",3150,"Knox County School District",47.16
"95","2013",3180,"Larue County School District",24.24
"96","2013",3210,"Laurel County School District",28.46
"97","2013",3240,"Lawrence County School District",29.96
"98","2013",3270,"Lee County School District",43.12
"99","2013",3330,"Leslie County School District",36.69
"100","2013",3360,"Letcher County School District",31.28
"101","2013",3390,"Lewis County School District",36.99
"102","2013",3480,"Lincoln County School District",29.04
"103","2013",3510,"Livingston County School District",21.04
"104","2013",3540,"Logan County School District",22.45
"105","2013",3630,"Ludlow Independent School District",21.5
"106","2013",3690,"Lyon County School District",20.64
"107","2013",3720,"Madison County School District",20.1
"108","2013",3750,"Magoffin County School District",35.84
"109","2013",3780,"Marion County School District",24.38
"110","2013",3810,"Marshall County School District",16.98
"111","2013",3840,"Martin County School District",42.04
