"sch.year","district.name","composite.mean.score"
"2016","Adair County",18.8
"2016","Allen County",18.3
"2016","Anderson County",19.5
"2016","Ashland Independent",20.5
"2016","Augusta Independent",18.1
"2016","Ballard County",18.7
"2016","Barbourville Independent",19.7
"2016","Bardstown Independent",19.4
"2016","Barren County",18.9
"2016","Bath County",19.1
"2016","Beechwood Independent",25.4
"2016","Bell County",18.3
"2016","Bellevue Independent",18.9
"2016","Berea Independent",20.1
"2016","Boone County",21.1
"2016","Bourbon County",19.6
"2016","Bowling Green Independent",20.1
"2016","Boyd County",18.8
"2016","Boyle County",21.6
"2016","Bracken County",18.3
"2016","Breathitt County",18.4
"2016","Breckinridge County",19
"2016","Bullitt County",19.9
"2016","Burgin Independent",19.6
"2016","Butler County",18.8
"2016","Caldwell County",19.6
"2016","Calloway County",19.7
"2016","Campbell County",21.5
"2016","Campbellsville Independent",19.4
"2016","Carlisle County",19.5
"2016","Carroll County",17.4
"2016","Carter County",18.4
"2016","Casey County",19
"2016","Caverna Independent",18.7
"2016","Christian County",17.9
"2016","Clark County",19.8
"2016","Clay County",17.3
"2016","Clinton County",19.2
"2016","Cloverport Independent",18.9
"2016","Corbin Independent",20.8
"2016","Covington Independent",17.1
"2016","Crittenden County",18.7
"2016","Cumberland County",18.7
"2016","Danville Independent",20
"2016","Daviess County",20.2
"2016","Dawson Springs Independent",20.2
"2016","Dayton Independent",19.2
"2016","Edmonson County",19.4
"2016","Elizabethtown Independent",21.1
"2016","Elliott County",17.1
"2016","Eminence Independent",18.9
"2016","Erlanger-Elsmere Independent",18.8
"2016","Estill County",18.3
"2016","Fairview Independent",18.2
"2016","Fayette County",20.7
"2016","Fleming County",17.4
"2016","Floyd County",18.5
"2016","Fort Thomas Independent",24.4
"2016","Frankfort Independent",18
"2016","Franklin County",20
"2016","Fulton County",18.9
"2016","Fulton Independent",19.2
"2016","Gallatin County",19.7
"2016","Garrard County",19
"2016","Glasgow Independent",21.3
"2016","Grant County",18.6
"2016","Graves County",19.9
"2016","Grayson County",18.5
"2016","Green County",18.7
"2016","Greenup County",18.6
"2016","Hancock County",18.7
"2016","Hardin County",19.7
"2016","Harlan County",18.4
"2016","Harlan Independent",20.6
"2016","Harrison County",18.8
"2016","Hart County",18.3
"2016","Hazard Independent",19
"2016","Henderson County",19.8
"2016","Henry County",18.2
"2016","Hickman County",20.6
"2016","Hopkins County",20
"2016","Jackson County",17.7
"2016","Jackson Independent",21.7
"2016","Jefferson County",18.9
"2016","Jenkins Independent",17.5
