"sch.year","dist.name","composite.mean.score"
"2015","Adair County",18.1
"2015","Allen County",19.2
"2015","Anderson County",18.7
"2015","Ashland Independent",19.8
"2015","Augusta Independent",20.2
"2015","Ballard County",19.1
"2015","Barbourville Independent",17.7
"2015","Bardstown Independent",18.7
"2015","Barren County",19.9
"2015","Bath County",18.5
"2015","Beechwood Independent",25.7
"2015","Bell County",18.3
"2015","Bellevue Independent",18.3
"2015","Berea Independent",19.8
"2015","Boone County",20.9
"2015","Bourbon County",19.8
"2015","Bowling Green Independent",20.1
"2015","Boyd County",18.7
"2015","Boyle County",21.6
"2015","Bracken County",19
"2015","Breathitt County",16.6
"2015","Breckinridge County",19.9
"2015","Bullitt County",19.2
"2015","Burgin Independent",18.5
"2015","Butler County",17.6
"2015","Caldwell County",19.1
"2015","Calloway County",20.1
"2015","Campbell County",21.1
"2015","Campbellsville Independent",18.3
"2015","Carlisle County",18.4
"2015","Carroll County",18.3
"2015","Carter County",18.2
"2015","Casey County",18.8
"2015","Caverna Independent",18.1
"2015","Christian County",18
"2015","Clark County",18.7
"2015","Clay County",17.5
"2015","Clinton County",17.9
"2015","Cloverport Independent",18
"2015","Corbin Independent",20
"2015","Covington Independent",16.8
"2015","Crittenden County",18.5
"2015","Cumberland County",19.3
"2015","Danville Independent",19.5
"2015","Daviess County",19.5
"2015","Dawson Springs Independent",20.3
"2015","Dayton Independent",17.8
"2015","Edmonson County",18.4
"2015","Elizabethtown Independent",21.4
"2015","Elliott County",17.5
"2015","Eminence Independent",19.5
"2015","Erlanger-Elsmere Independent",19.1
"2015","Estill County",18.4
"2015","Fairview Independent",18.8
"2015","Fayette County",20.4
"2015","Fleming County",17.1
"2015","Floyd County",17.9
"2015","Fort Thomas Independent",24.1
"2015","Frankfort Independent",20
"2015","Franklin County",19.8
"2015","Fulton County",17.8
"2015","Fulton Independent",20.2
"2015","Gallatin County",18.2
"2015","Garrard County",18.9
"2015","Glasgow Independent",20.7
"2015","Grant County",18
"2015","Graves County",19.4
"2015","Grayson County",19.2
"2015","Green County",18.7
"2015","Greenup County",17.7
"2015","Hancock County",20.1
"2015","Hardin County",19.7
"2015","Harlan County",18.2
"2015","Harlan Independent",20.5
"2015","Harrison County",19.4
"2015","Hart County",18.9
"2015","Hazard Independent",20.6
"2015","Henderson County",19.3
"2015","Henry County",18.5
"2015","Hickman County",21.3
"2015","Hopkins County",19.3
"2015","Jackson County",17.7
"2015","Jackson Independent",19.6
"2015","Jefferson County",18.8
"2015","Jenkins Independent",17.7
"2015","Jessamine County",19.7
"2015","Johnson County",18.9
"2015","Kenton County",20.7
"2015","Knott County",18.8
"2015","Knox County",17.3
"2015","LaRue County",20.8
"2015","Laurel County",19.6
"2015","Lawrence County",18.1
"2015","Lee County",17.5
"2015","Leslie County",18.9
"2015","Letcher County",17.8
"2015","Lewis County",18.5
"2015","Lincoln County",19
"2015","Livingston County",18.9
"2015","Logan County",19.6
"2015","Ludlow Independent",20
"2015","Lyon County",20.7
"2015","Madison County",20
"2015","Magoffin County",17.3
"2015","Marion County",19.4
"2015","Marshall County",20
"2015","Martin County",17.6
"2015","Mason County",20
"2015","Mayfield Independent",18.8
"2015","McCracken County",21.1
"2015","McCreary County",17.9
"2015","McLean County",19.4
"2015","Meade County",19.4
"2015","Menifee County",17.9
"2015","Mercer County",19.1
"2015","Metcalfe County",18.5
"2015","Middlesboro Independent",18.4
"2015","Monroe County",17.4
"2015","Montgomery County",18.6
"2015","Morgan County",18.3
"2015","Muhlenberg County",18.5
"2015","Murray Independent",22
"2015","Nelson County",19.6
"2015","Newport Independent",15.9
"2015","Nicholas County",18.6
"2015","Ohio County",18.7
"2015","Oldham County",22.1
"2015","Owen County",18.1
"2015","Owensboro Independent",18.4
"2015","Owsley County",17.6
"2015","Paducah Independent",19.1
"2015","Paintsville Independent",20.7
"2015","Paris Independent",18
"2015","Pendleton County",19.5
"2015","Perry County",18.1
"2015","Pike County",18.1
"2015","Pikeville Independent",20.6
"2015","Pineville Independent",18.9
"2015","Powell County",17.4
"2015","Pulaski County",19.3
"2015","Raceland-Worthington Independent",19.2
"2015","Robertson County",16.8
"2015","Rockcastle County",18.2
"2015","Rowan County",19.4
"2015","Russell County",18.3
"2015","Russell Independent",21.7
"2015","Russellville Independent",18.3
"2015","Scott County",20.6
"2015","Shelby County",19.8
"2015","Silver Grove Independent",15.6
"2015","Simpson County",19.1
"2015","Somerset Independent",20.3
"2015","Spencer County",19.5
"2015","Taylor County",19.3
"2015","Todd County",18.4
"2015","Trigg County",18.5
"2015","Trimble County",19
"2015","Union County",18.6
"2015","Walton-Verona Independent",21.9
"2015","Warren County",20.3
"2015","Washington County",18.9
"2015","Wayne County",17.7
"2015","Webster County",18.5
"2015","Whitley County",19.2
"2015","Williamsburg Independent",20.1
"2015","Williamstown Independent",19.6
"2015","Wolfe County",17.1
"2015","Woodford County",21.3
"2015","Kentucky School for the Blind",NA
"2015","Kentucky School for the Deaf",14.8
