"hospital","year","variable","value"
"baptist hospital east",2000,"licensed_acute_beds",303
"baptist regional medical center",2000,"licensed_acute_beds",171
"berea hospital",2000,"licensed_acute_beds",48
"bourbon community hospital",2000,"licensed_acute_beds",33
"breckinridge memorial hospital",2000,"licensed_acute_beds",27
"caldwell county hospital inc",2000,"licensed_acute_beds",48
"caritas medical center",2000,"licensed_acute_beds",298
"caritas peace center",2000,"licensed_acute_beds",0
"carroll county hospital",2000,"licensed_acute_beds",49
"casey county hospital",2000,"licensed_acute_beds",24
"caverna memorial hospital",2000,"licensed_acute_beds",30
"central baptist hospital",2000,"licensed_acute_beds",371
"central state hospital",2000,"licensed_acute_beds",0
"clark regional medical center",2000,"licensed_acute_beds",75
"clinton county hospital inc",2000,"licensed_acute_beds",42
"crittenden county hospital",2000,"licensed_acute_beds",48
"cumberland county hospital",2000,"licensed_acute_beds",31
"eastern state hospital",2000,"licensed_acute_beds",0
"ephraim mcdowell reg medical ctr",2000,"licensed_acute_beds",114
"fhc cumberland hall",2000,"licensed_acute_beds",0
"flaget memorial hospital",2000,"licensed_acute_beds",40
"fleming county hospital",2000,"licensed_acute_beds",52
"fort logan hospital",2000,"licensed_acute_beds",43
"frankfort regional medical center",2000,"licensed_acute_beds",161
"garrard county memorial hospital",2000,"licensed_acute_beds",15
"georgetown community hospital",2000,"licensed_acute_beds",75
"greenview regional medical center",2000,"licensed_acute_beds",211
"hardin memorial hospital",2000,"licensed_acute_beds",270
"harlan arh hospital",2000,"licensed_acute_beds",130
"harrison memorial hospital",2000,"licensed_acute_beds",61
"hazard arh regional medical center",2000,"licensed_acute_beds",188
"highlands regional medical ctr",2000,"licensed_acute_beds",166
"jackson purchase medical center",2000,"licensed_acute_beds",93
"jane todd crawford memorial hosp",2000,"licensed_acute_beds",22
"jenkins community hospital",2000,"licensed_acute_beds",60
"jennie stuart medical center inc",2000,"licensed_acute_beds",194
"jewish hospital",2000,"licensed_acute_beds",442
"jewish hospital shelbyville",2000,"licensed_acute_beds",68
"kentucky correctional psychiatric",2000,"licensed_acute_beds",0
"kentucky river medical ctr",2000,"licensed_acute_beds",55
"kings daughters medical ctr",2000,"licensed_acute_beds",302
