"","V1","V2"
"1","Name","FIPS"
"2","Abilene, TX (Metropolitan Statistical Area) ","10180"
"3","Akron, OH (Metropolitan Statistical Area) ","10420"
"4","Albany, GA (Metropolitan Statistical Area) ","10500"
"5","Albany, OR (Metropolitan Statistical Area) ","10540"
"6","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area) ","10580"
"7","Albuquerque, NM (Metropolitan Statistical Area) ","10740"
"8","Alexandria, LA (Metropolitan Statistical Area) ","10780"
"9","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area) ","10900"
"10","Altoona, PA (Metropolitan Statistical Area) ","11020"
"11","Amarillo, TX (Metropolitan Statistical Area) ","11100"
"12","Ames, IA (Metropolitan Statistical Area) ","11180"
"13","Anchorage, AK (Metropolitan Statistical Area) ","11260"
"14","Ann Arbor, MI (Metropolitan Statistical Area) ","11460"
"15","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area) ","11500"
"16","Appleton, WI (Metropolitan Statistical Area) ","11540"
"17","Asheville, NC (Metropolitan Statistical Area) ","11700"
"18","Athens-Clarke County, GA (Metropolitan Statistical Area) ","12020"
"19","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area) ","12060"
"20","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area) ","12100"
"21","Auburn-Opelika, AL (Metropolitan Statistical Area) ","12220"
"22","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area) ","12260"
"23","Austin-Round Rock, TX (Metropolitan Statistical Area) ","12420"
"24","Bakersfield, CA (Metropolitan Statistical Area) ","12540"
"25","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area) ","12580"
"26","Bangor, ME (Metropolitan Statistical Area) ","12620"
"27","Barnstable Town, MA (Metropolitan Statistical Area) ","12700"
"28","Baton Rouge, LA (Metropolitan Statistical Area) ","12940"
"29","Battle Creek, MI (Metropolitan Statistical Area) ","12980"
"30","Bay City, MI (Metropolitan Statistical Area) ","13020"
"31","Beaumont-Port Arthur, TX (Metropolitan Statistical Area) ","13140"
"32","Beckley, WV (Metropolitan Statistical Area) ","13220"
"33","Bellingham, WA (Metropolitan Statistical Area) ","13380"
"34","Bend-Redmond, OR (Metropolitan Statistical Area) ","13460"
"35","Billings, MT (Metropolitan Statistical Area) ","13740"
"36","Binghamton, NY (Metropolitan Statistical Area) ","13780"
"37","Birmingham-Hoover, AL (Metropolitan Statistical Area) ","13820"
"38","Bismarck, ND (Metropolitan Statistical Area) ","13900"
"39","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area) ","13980"
"40","Bloomington, IL (Metropolitan Statistical Area) ","14010"
"41","Bloomington, IN (Metropolitan Statistical Area) ","14020"
"42","Bloomsburg-Berwick, PA (Metropolitan Statistical Area) ","14100"
"43","Boise City, ID (Metropolitan Statistical Area) ","14260"
"44","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area) ","14460"
"45","Boulder, CO (Metropolitan Statistical Area) ","14500"
"46","Bowling Green, KY (Metropolitan Statistical Area) ","14540"
"47","Bremerton-Silverdale, WA (Metropolitan Statistical Area) ","14740"
"48","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area) ","14860"
"49","Brownsville-Harlingen, TX (Metropolitan Statistical Area) ","15180"
"50","Brunswick, GA (Metropolitan Statistical Area) ","15260"
"51","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area) ","15380"
"52","Burlington, NC (Metropolitan Statistical Area) ","15500"
"53","Burlington-South Burlington, VT (Metropolitan Statistical Area) ","15540"
"54","California-Lexington Park, MD (Metropolitan Statistical Area) ","15680"
"55","Canton-Massillon, OH (Metropolitan Statistical Area) ","15940"
"56","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area) ","15980"
"57","Cape Girardeau, MO-IL (Metropolitan Statistical Area) ","16020"
"58","Carbondale-Marion, IL (Metropolitan Statistical Area) ","16060"
