Location,TimeFrame,DataFormat,Data
Kentucky,2004,Number,37229
Kentucky,2005,Number,36539
Kentucky,2006,Number,37406
Kentucky,2007,Number,36861
Kentucky,2008,Number,36287
Kentucky,2009,Number,34802
Kentucky,2004,Percent,0.68
Kentucky,2005,Percent,0.67
Kentucky,2006,Percent,0.66
Kentucky,2007,Percent,0.65
Kentucky,2008,Percent,0.65
Kentucky,2009,Percent,0.64
Adair,2004,Number,141
Adair,2005,Number,125
Adair,2006,Number,148
Adair,2007,Number,142
Adair,2008,Number,130
Adair,2009,Number,135
Adair,2004,Percent,0.72
Adair,2005,Percent,0.58
Adair,2006,Percent,0.69
Adair,2007,Percent,0.64
Adair,2008,Percent,0.61
Adair,2009,Percent,0.64
Allen,2004,Number,131
Allen,2005,Number,149
Allen,2006,Number,136
Allen,2007,Number,137
Allen,2008,Number,145
Allen,2009,Number,110
Allen,2004,Percent,0.65
Allen,2005,Percent,0.62
Allen,2006,Percent,0.54
Allen,2007,Percent,0.52
Allen,2008,Percent,0.55
Allen,2009,Percent,0.46
Anderson,2004,Number,158
Anderson,2005,Number,163
Anderson,2006,Number,208
Anderson,2007,Number,185
Anderson,2008,Number,207
Anderson,2009,Number,189
Anderson,2004,Percent,0.66
Anderson,2005,Percent,0.69
Anderson,2006,Percent,0.75
Anderson,2007,Percent,0.68
Anderson,2008,Percent,0.72
Anderson,2009,Percent,0.71
Ballard,2004,Number,84
Ballard,2005,Number,79
Ballard,2006,Number,50
Ballard,2007,Number,74
Ballard,2008,Number,78
Ballard,2009,Number,82
Ballard,2004,Percent,0.85
Ballard,2005,Percent,0.82
Ballard,2006,Percent,0.86
Ballard,2007,Percent,0.81
Ballard,2008,Percent,0.82
Ballard,2009,Percent,0.86
Barren,2004,Number,368
Barren,2005,Number,320
Barren,2006,Number,319
Barren,2007,Number,346
Barren,2008,Number,341
Barren,2009,Number,300
Barren,2004,Percent,0.66
Barren,2005,Percent,0.56
Barren,2006,Percent,0.65
Barren,2007,Percent,0.61
Barren,2008,Percent,0.59
Barren,2009,Percent,0.57
Bath,2004,Number,117
Bath,2005,Number,113
Bath,2006,Number,110
Bath,2007,Number,123
Bath,2008,Number,121
Bath,2009,Number,110
Bath,2004,Percent,0.78
Bath,2005,Percent,0.7
