Location,TimeFrame,DataFormat,Data
Indiana,2007,Percent,0.675
Indiana,2008,Percent,0.666
Indiana,2009,Percent,0.661
Indiana,2010,Percent,0.685
Indiana,2011,Percent,0.681
Indiana,2012,Percent,0.684
Indiana,2013,Percent,0.674
Adams,2007,Percent,0.451
Adams,2008,Percent,0.453
Adams,2009,Percent,0.4
Adams,2010,Percent,0.395
Adams,2011,Percent,0.389
Adams,2012,Percent,0.417
Adams,2013,Percent,0.398
Allen,2007,Percent,0.718
Allen,2008,Percent,0.729
Allen,2009,Percent,0.662
Allen,2010,Percent,0.588
Allen,2011,Percent,0.562
Allen,2012,Percent,0.544
Allen,2013,Percent,0.494
Bartholomew,2007,Percent,0.622
Bartholomew,2008,Percent,0.598
Bartholomew,2009,Percent,0.608
Bartholomew,2010,Percent,0.64
Bartholomew,2011,Percent,0.644
Bartholomew,2012,Percent,0.658
Bartholomew,2013,Percent,0.681
Benton,2007,Percent,0.673
Benton,2008,Percent,0.664
Benton,2009,Percent,0.63
Benton,2010,Percent,0.698
Benton,2011,Percent,0.651
Benton,2012,Percent,0.765
Benton,2013,Percent,0.63
Blackford,2007,Percent,0.776
Blackford,2008,Percent,0.642
Blackford,2009,Percent,0.669
Blackford,2010,Percent,0.715
Blackford,2011,Percent,0.772
Blackford,2012,Percent,0.686
Blackford,2013,Percent,0.726
Boone,2007,Percent,0.812
Boone,2008,Percent,0.775
Boone,2009,Percent,0.795
Boone,2010,Percent,0.808
Boone,2011,Percent,0.843
Boone,2012,Percent,0.843
Boone,2013,Percent,0.837
Brown,2007,Percent,0.701
Brown,2008,Percent,0.701
Brown,2009,Percent,0.619
Brown,2010,Percent,0.72
Brown,2011,Percent,0.653
Brown,2012,Percent,0.683
Brown,2013,Percent,0.643
Carroll,2007,Percent,0.617
Carroll,2008,Percent,0.626
Carroll,2009,Percent,0.68
Carroll,2010,Percent,0.71
Carroll,2011,Percent,0.712
Carroll,2012,Percent,0.716
Carroll,2013,Percent,0.71
Cass,2007,Percent,0.64
Cass,2008,Percent,0.622
Cass,2009,Percent,0.654
Cass,2010,Percent,0.676
Cass,2011,Percent,0.68
Cass,2012,Percent,0.605
Cass,2013,Percent,0.637
Clark,2007,Percent,0.695
Clark,2008,Percent,0.692
Clark,2009,Percent,0.679
Clark,2010,Percent,0.714
Clark,2011,Percent,0.719
Clark,2012,Percent,0.73
Clark,2013,Percent,0.708
Clay,2007,Percent,0.739
Clay,2008,Percent,0.715
Clay,2009,Percent,0.714
Clay,2010,Percent,0.707
Clay,2011,Percent,0.684
Clay,2012,Percent,0.741
Clay,2013,Percent,0.629
Clinton,2007,Percent,0.59
Clinton,2008,Percent,0.554
Clinton,2009,Percent,0.618
Clinton,2010,Percent,0.649
Clinton,2011,Percent,0.626
Clinton,2012,Percent,0.665
Clinton,2013,Percent,0.646
Crawford,2007,Percent,0.726
Crawford,2008,Percent,0.705
Crawford,2009,Percent,0.736
Crawford,2010,Percent,0.689
Crawford,2011,Percent,0.718
Crawford,2012,Percent,0.708
Crawford,2013,Percent,0.657
Daviess,2007,Percent,0.678
Daviess,2008,Percent,0.604
Daviess,2009,Percent,0.6
Daviess,2010,Percent,0.581
Daviess,2011,Percent,0.619
Daviess,2012,Percent,0.633
Daviess,2013,Percent,0.628
Dearborn,2007,Percent,0.728
Dearborn,2008,Percent,0.747
Dearborn,2009,Percent,0.712
Dearborn,2010,Percent,0.806
Dearborn,2011,Percent,0.794
Dearborn,2012,Percent,0.777
Dearborn,2013,Percent,0.768
Decatur,2007,Percent,0.654
Decatur,2008,Percent,0.648
Decatur,2009,Percent,0.568
Decatur,2010,Percent,0.587
Decatur,2011,Percent,0.599
Decatur,2012,Percent,0.65
Decatur,2013,Percent,0.664
DeKalb,2007,Percent,0.737
DeKalb,2008,Percent,0.707
DeKalb,2009,Percent,0.706
DeKalb,2010,Percent,0.652
DeKalb,2011,Percent,0.659
DeKalb,2012,Percent,0.654
DeKalb,2013,Percent,0.617
Delaware,2007,Percent,0.787
Delaware,2008,Percent,0.773
Delaware,2009,Percent,0.737
Delaware,2010,Percent,0.792
Delaware,2011,Percent,0.815
Delaware,2012,Percent,0.802
Delaware,2013,Percent,0.76
Dubois,2007,Percent,0.814
Dubois,2008,Percent,0.786
Dubois,2009,Percent,0.794
Dubois,2010,Percent,0.79
Dubois,2011,Percent,0.817
Dubois,2012,Percent,0.75
Dubois,2013,Percent,0.78
Elkhart,2007,Percent,0.518
Elkhart,2008,Percent,0.53
Elkhart,2009,Percent,0.561
Elkhart,2010,Percent,0.634
Elkhart,2011,Percent,0.613
Elkhart,2012,Percent,0.607
Elkhart,2013,Percent,0.598
Fayette,2007,Percent,0.72
Fayette,2008,Percent,0.829
Fayette,2009,Percent,0.763
Fayette,2010,Percent,0.744
Fayette,2011,Percent,0.793
Fayette,2012,Percent,0.69
Fayette,2013,Percent,0.799
Floyd,2007,Percent,0.702
Floyd,2008,Percent,0.736
Floyd,2009,Percent,0.699
Floyd,2010,Percent,0.775
Floyd,2011,Percent,0.732
Floyd,2012,Percent,0.736
Floyd,2013,Percent,0.704
Fountain,2007,Percent,0.469
Fountain,2008,Percent,0.556
Fountain,2009,Percent,0.465
Fountain,2010,Percent,0.579
Fountain,2011,Percent,0.591
Fountain,2012,Percent,0.622
Fountain,2013,Percent,0.658
Franklin,2007,Percent,0.655
Franklin,2008,Percent,0.795
Franklin,2009,Percent,0.65
Franklin,2010,Percent,0.731
Franklin,2011,Percent,0.716
Franklin,2012,Percent,0.704
Franklin,2013,Percent,0.733
Fulton,2007,Percent,0.697
Fulton,2008,Percent,0.611
Fulton,2009,Percent,0.699
Fulton,2010,Percent,0.732
Fulton,2011,Percent,0.677
Fulton,2012,Percent,0.597
Fulton,2013,Percent,0.588
Gibson,2007,Percent,0.772
Gibson,2008,Percent,0.828
Gibson,2009,Percent,0.802
Gibson,2010,Percent,0.833
Gibson,2011,Percent,0.831
Gibson,2012,Percent,0.813
Gibson,2013,Percent,0.811
Grant,2007,Percent,0.657
Grant,2008,Percent,0.615
Grant,2009,Percent,0.686
Grant,2010,Percent,0.662
Grant,2011,Percent,0.684
Grant,2012,Percent,0.657
Grant,2013,Percent,0.672
Greene,2007,Percent,0.768
Greene,2008,Percent,0.732
Greene,2009,Percent,0.721
Greene,2010,Percent,0.731
Greene,2011,Percent,0.758
Greene,2012,Percent,0.745
Greene,2013,Percent,0.723
Hamilton,2007,Percent,0.826
Hamilton,2008,Percent,0.827
Hamilton,2009,Percent,0.832
Hamilton,2010,Percent,0.835
Hamilton,2011,Percent,0.838
Hamilton,2012,Percent,0.844
Hamilton,2013,Percent,0.851
Hancock,2007,Percent,0.802
Hancock,2008,Percent,0.769
Hancock,2009,Percent,0.783
Hancock,2010,Percent,0.797
Hancock,2011,Percent,0.796
Hancock,2012,Percent,0.784
Hancock,2013,Percent,0.801
Harrison,2007,Percent,0.786
Harrison,2008,Percent,0.802
Harrison,2009,Percent,0.743
Harrison,2010,Percent,0.818
Harrison,2011,Percent,0.76
Harrison,2012,Percent,0.851
Harrison,2013,Percent,0.725
Hendricks,2007,Percent,0.781
Hendricks,2008,Percent,0.778
Hendricks,2009,Percent,0.788
Hendricks,2010,Percent,0.758
Hendricks,2011,Percent,0.78
Hendricks,2012,Percent,0.819
Hendricks,2013,Percent,0.786
Henry,2007,Percent,0.822
Henry,2008,Percent,0.804
Henry,2009,Percent,0.748
Henry,2010,Percent,0.795
Henry,2011,Percent,0.779
Henry,2012,Percent,0.786
Henry,2013,Percent,0.783
Howard,2007,Percent,0.661
Howard,2008,Percent,0.666
Howard,2009,Percent,0.608
Howard,2010,Percent,0.668
Howard,2011,Percent,0.71
Howard,2012,Percent,0.711
Howard,2013,Percent,0.708
Huntington,2007,Percent,0.76
Huntington,2008,Percent,0.779
Huntington,2009,Percent,0.766
Huntington,2010,Percent,0.748
Huntington,2011,Percent,0.751
Huntington,2012,Percent,0.731
Huntington,2013,Percent,0.682
Jackson,2007,Percent,0.664
