PROV,Medicaid Days,SSI Days,Insured Low Income Days,Factor 3,Total Uncompensated Care Payment Amount,Claims Average,Estimated Per Claim Amount,Projected to Receive DSH for FY 2015
010001,15723,5887,21610,0.000591628,"$4,524,564",7801,$580.02,YES
010005,8951,2032,10983,0.000300687,"$2,299,550",3309,$695.01,YES
010006,7882,2845,10727,0.000293679,"$2,245,951",5197,$432.19,YES
010007,619,370,989,0.000027076,"$207,071",806,$256.81,YES
010008,668,258,926,0.000025352,"$193,880",339,$571.36,YES
010009,293,97,390,0.000010677,N/A,N/A,N/A,NO
010010,2303,4,2307,0.000063160,N/A,N/A,N/A,NO
010011,11350,3181,14531,0.000397823,"$3,042,408",4101,$741.87,YES
010012,2818,473,3291,0.000090099,N/A,1438,$479.28,SCH
010015,63,0,63,0.000001725,N/A,N/A,N/A,NO
010016,8860,1585,10445,0.000285958,"$2,186,907",3459,$632.24,YES
010018,16,9,25,0.000000684,"$5,234",30,$174.48,YES
010019,6707,1031,7738,0.000211847,"$1,620,133",3021,$536.23,YES
010021,1624,750,2374,0.000064994,"$497,053",757,$656.61,YES
010022,383,179,562,0.000015386,"$117,668",451,$261.10,YES
010023,26772,3747,30519,0.000835535,"$6,389,873",5132,"$1,245.18",YES
010024,10905,4281,15186,0.000415755,"$3,179,548",4975,$639.15,YES
010025,3096,849,3945,0.000108004,"$825,979",1186,$696.44,YES
010029,12099,2626,14725,0.000403134,"$3,083,026",5427,$568.13,YES
010032,343,166,509,0.000013935,"$106,571",370,$287.77,YES
010033,80308,10580,90888,0.002488289,"$19,029,549",12071,"$1,576.42",YES
010034,689,448,1137,0.000031128,"$238,058",675,$352.85,YES
010035,4355,1299,5654,0.000154793,N/A,3065,$386.23,SCH
010036,2638,622,3260,0.000089251,"$682,558",1390,$490.93,YES
010038,1724,1056,2780,0.000076110,"$582,059",1980,$293.97,YES
010039,41917,6856,48773,0.001335284,"$10,211,779",14570,$700.88,YES
010040,12346,3493,15839,0.000433633,"$3,316,269",4814,$688.88,YES
010044,239,158,397,0.000010869,"$83,121",463,$179.53,YES
010045,499,520,1019,0.000027898,"$213,352",766,$278.53,YES
010046,3102,2588,5690,0.000155778,"$1,191,336",3491,$341.26,YES
010047,363,224,587,0.000016071,"$122,902",487,$252.54,YES
010049,3737,487,4224,0.000115643,"$884,394",1428,$619.18,YES
010051,298,251,549,0.000015030,"$114,946",254,$451.95,YES
010052,247,204,451,0.000012347,"$94,427",471,$200.34,YES
010054,2294,621,2915,0.000079805,"$610,324",1238,$493.12,YES
010055,7961,2293,10254,0.000280729,"$2,146,917",4997,$429.61,YES
010056,8632,2533,11165,0.000305670,N/A,N/A,N/A,NO
010058,39,49,88,0.000002409,N/A,N/A,N/A,NO
010059,420,620,1040,0.000028473,"$217,749",674,$322.91,YES
010061,3095,1049,4144,0.000113452,"$867,644",1762,$492.51,YES
010062,425,435,860,0.000023545,"$180,061",695,$258.96,YES
010065,3045,346,3391,0.000092837,"$709,986",1513,$469.15,YES
010069,596,460,1056,0.000028911,"$221,099",689,$321.05,YES
010073,1387,747,2134,0.000058424,"$446,803",674,$662.91,YES
010078,9770,2693,12463,0.000341206,"$2,609,423",5071,$514.58,YES
010079,3045,1050,4095,0.000112111,"$857,385",1668,$513.92,YES
010083,3836,773,4609,0.000126183,"$965,003",2371,$407.06,YES
010085,7578,1917,9495,0.000259950,"$1,988,002",3709,$535.99,YES
010086,480,471,951,0.000026036,"$199,114",1100,$181.01,YES
010087,13644,1547,15191,0.000415892,"$3,180,595",980,"$3,245.50",YES
010089,5522,1290,6812,0.000186496,"$1,426,253",2321,$614.59,YES
