County,Trump/Pence,Clinton/Kaine,Johnson/Weld,DeLaFuente/Stein,Stein/Baraka,McMullin/Johnson
Adair,6637,1323,141,3,35,92
Allen,6466,1349,161,6,46,63
Anderson,8242,2634,319,6,54,165
Ballard,3161,816,77,4,20,23
Barren,13483,4275,455,10,93,167
Bath,3082,1361,75,6,24,35
Bell,7764,1720,144,4,42,44
Boone,39082,15026,2299,20,380,763
Bourbon,5569,2791,283,4,52,96
Boyd,13591,6021,496,11,167,168
Boyle,8040,4281,365,10,73,169
Bracken,2711,705,51,5,20,35
Breathitt,3991,1537,117,7,35,48
Breckinridge,6484,1960,194,6,47,80
Bullitt,26210,8255,964,18,253,354
Butler,4428,947,136,1,11,53
Caldwell,4507,1260,118,3,32,55
Calloway,10367,4749,492,6,150,281
Campbell,25050,14658,1789,18,422,552
Carlisle,2094,432,42,2,12,19
Carroll,2588,1106,100,4,24,33
Carter,7587,2276,237,7,58,109
Casey,5482,767,121,1,28,40
Christian,14108,7188,474,14,120,179
Clark,10710,4706,453,9,121,203
Clay,5861,752,83,3,26,40
Clinton,3809,547,60,4,15,23
Crittenden,3290,617,76,1,17,36
Cumberland,2502,459,67,5,11,22
Daviess,28907,14163,1488,29,453,741
Edmonson,4135,979,77,2,20,28
Elliott,2000,740,67,8,19,21
Estill,4236,1108,129,7,30,35
Fayette,56890,69776,5230,127,1580,2636
Fleming,4722,1348,109,7,20,51
Floyd,11993,4015,357,19,56,100
Franklin,11819,10717,725,20,236,343
Fulton,1549,774,35,1,7,16
Gallatin,2443,749,100,3,18,24
Garrard,5904,1453,157,6,33,66
Grant,7268,1910,226,5,71,76
Graves,12671,3308,411,10,80,112
Grayson,8219,1959,259,8,46,81
Green,4372,832,84,2,24,19
Greenup,11546,4146,319,8,109,145
Hancock,2788,1244,129,1,44,87
Hardin,26970,13944,1413,28,346,440
Harlan,9129,1372,156,13,39,48
Harrison,5435,2031,184,6,46,78
Hart,5320,1730,140,2,39,32
Henderson,12159,6707,507,13,142,177
Henry,4944,1828,224,3,58,88
Hickman,1657,449,26,0,6,19
Hopkins,15277,4310,478,16,97,163
Jackson,4889,482,79,3,20,27
Jefferson,143758,190824,10187,156,3224,4785
Jessamine,15474,6144,829,14,170,675
Johnson,8043,1250,163,12,60,44
Kenton,42958,24213,3093,42,703,938
Knott,4357,1245,102,7,13,39
Knox,9885,1761,189,11,64,102
Larue,4799,1278,174,8,28,80
Laurel,20592,3440,473,13,114,192
Lawrence,4816,1045,107,5,32,37
Lee,2151,444,42,4,7,19
Leslie,4015,400,39,5,15,18
Letcher,7293,1542,210,3,37,49
Lewis,4363,785,95,5,16,34
Lincoln,7338,1865,226,6,44,82
Livingston,3570,887,115,1,24,46
Logan,7778,2755,229,3,43,91
Lyon,2789,1045,74,2,15,36
Madison,23431,11793,1189,18,353,552
Magoffin,3824,1172,66,3,17,34
Marion,5122,2679,215,1,33,59
Marshall,12322,3672,426,10,84,174
Martin,3503,363,52,2,13,20
Mason,4944,1970,173,4,38,87
McCracken,20774,9134,839,10,217,320
McCreary,5012,664,59,4,18,19
McLean,3381,988,137,1,15,44
Meade,8660,3026,333,6,97,107
Menifee,2010,700,43,1,14,12
Mercer,7740,2395,275,5,68,101
Metcalfe,3491,976,86,3,22,41
Monroe,4278,601,76,0,13,23
Montgomery,7856,3158,264,7,68,91
Morgan,3628,1006,63,4,26,43
Muhlenberg,9393,3272,230,8,44,107
Nelson,13430,6434,565,11,131,201
Nicholas,1957,787,65,3,9,19
Ohio,7942,2080,207,0,64,105
Oldham,20469,10268,1229,15,282,590
Owen,3745,1062,122,2,25,43
Owsley,1474,256,24,2,0,3
Pendleton,4604,1164,145,1,27,66
Perry,8158,2136,168,6,47,57
Pike,19740,4277,411,13,86,123
Powell,3513,1272,118,5,27,22
Pulaski,22900,4208,562,19,127,218
Robertson,759,222,19,0,5,8
Rockcastle,5609,915,87,2,25,50
Rowan,5174,3295,207,13,85,68
Russell,6863,1093,153,3,14,48
Scott,15052,7713,853,19,139,402
Shelby,13196,6276,629,10,138,324
Simpson,5077,2144,200,5,38,65
Spencer,7196,1921,237,4,44,111
Taylor,8320,2553,233,3,53,142
Todd,3612,1042,64,3,26,27
Trigg,4928,1587,121,5,45,59
Trimble,2771,879,88,2,20,28
Union,4701,1331,115,2,29,33
Warren,28673,16966,1605,20,415,757
Washington,4013,1420,111,9,17,60
Wayne,6370,1431,116,3,30,41
Webster,4397,1240,111,1,22,34
Whitley,11312,2067,242,4,41,103
Wolfe,1804,753,42,1,9,26
Woodford,7697,4958,529,13,117,246
