County,Paul,Gray,Total
Adair,5897,2072,7969
Allen,5979,1940,7919
Anderson,6910,4475,11385
Ballard,2725,1367,4092
Barren,10876,7460,18336
Bath,2324,2154,4478
Bell,6637,2638,9275
Boone,42032,15303,57335
Bourbon,4411,4350,8761
Boyd,10730,9536,20266
Boyle,6982,5937,12919
Bracken,2488,964,3452
Breathitt,2854,2672,5526
Breckinridge,5413,3233,8646
Bullitt,23022,12619,35641
Butler,4055,1444,5499
Caldwell,3887,2037,5924
Calloway,9848,6154,16002
Campbell,27418,14926,42344
Carlisle,1813,769,2582
Carroll,2193,1625,3818
Carter,5640,4428,10068
Casey,4789,1518,6307
Christian,14074,7675,21749
Clark,9023,7120,16143
Clay,4917,1506,6423
Clinton,3513,679,4192
Crittenden,2877,1090,3967
Cumberland,2261,631,2892
Daviess,26652,18768,45420
Edmonson,3553,1648,5201
Elliott,1157,1477,2634
Estill,3528,1920,5448
Fayette,54064,82401,136465
Fleming,3597,2555,6152
Floyd,8082,7615,15697
Franklin,10000,13860,23860
Fulton,1322,1029,2351
Gallatin,2358,939,3297
Garrard,5034,2515,7549
Grant,7125,2334,9459
Graves,10996,5394,16390
Grayson,7097,3307,10404
Green,3688,1459,5147
Greenup,8946,7128,16074
Hancock,2383,1842,4225
Hardin,24891,18046,42937
Harlan,7455,2655,10110
Harrison,4225,3472,7697
Hart,4504,2647,7151
Henderson,10659,8882,19541
Henry,4300,2794,7094
Hickman,1409,722,2131
Hopkins,13625,6457,20082
Jackson,4264,969,5233
Jefferson,144619,207597,352216
Jessamine,13821,9462,23283
Johnson,6187,2968,9155
Kenton,47375,24370,71745
Knott,3085,2369,5454
Knox,8162,3322,11484
Larue,4111,2185,6296
Laurel,18216,6065,24281
Lawrence,3652,2218,5870
Lee,1688,898,2586
Leslie,3575,679,4254
Letcher,5364,3175,8539
Lewis,3569,1434,5003
Lincoln,6144,3264,9408
Livingston,3063,1514,4577
Logan,7555,3214,10769
Lyon,2431,1508,3939
Madison,20817,16439,37256
Magoffin,2756,2171,4927
Marion,3887,4086,7973
Marshall,10635,6031,16666
Martin,2814,909,3723
Mason,4452,2640,7092
McCracken,19699,11552,31251
McCreary,4303,1238,5541
McLean,2820,1681,4501
Meade,7043,5069,12112
Menifee,1514,1201,2715
Mercer,6365,4113,10478
Metcalfe,2845,1660,4505
Monroe,3842,881,4723
Montgomery,6220,5112,11332
Morgan,2602,2010,4612
Muhlenberg,7354,5489,12843
Nelson,11746,8832,20578
Nicholas,1365,1434,2799
Ohio,6742,3505,10247
Oldham,21250,11718,32968
Owen,3388,1527,4915
Owsley,1160,481,1641
Pendleton,4376,1493,5869
Perry,6310,3880,10190
Pike,14421,9294,23715
Powell,2664,2225,4889
Pulaski,19971,7648,27619
Robertson,650,344,994
Rockcastle,4889,1614,6503
Rowan,4123,4625,8748
Russell,5904,2061,7965
Scott,13340,10833,24173
Shelby,12477,8011,20488
Simpson,4819,2618,7437
Spencer,6447,2989,9436
Taylor,7276,3861,11137
Todd,3514,1170,4684
Trigg,4750,1911,6661
Trimble,2326,1434,3760
Union,3840,2302,6142
Warren,29188,19191,48379
Washington,3365,2191,5556
Wayne,5158,2534,7692
Webster,3712,1996,5708
Whitley,9748,3795,13543
Wolfe,1307,1268,2575
Woodford,6838,6756,13594
Total:,1090151,813222,1903373
