County,Value
Adair,13.9
Allen,12.7
Anderson,20.4
Ballard,13.1
Barren,14.7
Bath,12
Bell,10.8
Boone,30.4
Bourbon,15.8
Boyd,16.3
Boyle,22.8
Bracken,14.2
Breathitt,9.8
Breckinridge,9.4
Bullitt,12.7
Butler,8.2
Caldwell,16.8
Calloway,27.7
Campbell,28.5
Carlisle,15.5
Carroll,9.5
Carter,10.4
Casey,8.4
Christian,15.1
Clark,19.4
Clay,9
Clinton,7
Crittenden,11.4
Cumberland,13.9
Daviess,18.8
Edmonson,9.8
Elliott,7.7
Estill,8.3
Fayette,40.1
Fleming,12.8
Floyd,12.8
Franklin,26.8
Fulton,13.1
Gallatin,8.8
Garrard,15.2
Grant,10.9
Graves,16.9
Grayson,9.5
Green,12
Greenup,15.7
Hancock,11.5
Hardin,20.8
Harlan,10.6
Harrison,14.2
Hart,8.8
Henderson,16.4
Henry,12.8
Hickman,10.3
Hopkins,14.2
Jackson,8.2
Jefferson,30.4
Jessamine,27.4
Johnson,10.2
Kenton,29.1
Knott,13
Knox,10.1
Larue,11.1
Laurel,12.6
Lawrence,10.8
Lee,5.6
Leslie,7.3
Letcher,11.5
Lewis,10.6
Lincoln,9.6
Livingston,11.3
Logan,13.3
Lyon,13.3
Madison,28
Magoffin,8.9
Marion,12.5
Marshall,15.3
Martin,7.5
Mason,14.8
McCracken,22.5
McCreary,7.3
McLean,10.3
Meade,12.7
Menifee,12.1
Mercer,18.9
Metcalfe,8.6
Monroe,12
Montgomery,14.6
Morgan,11.5
Muhlenberg,11.3
Nelson,16.6
Nicholas,13.7
Ohio,8
Oldham,40.1
Owen,15.9
Owsley,12.4
Pendleton,12.4
Perry,13.5
Pike,12.5
Powell,11.9
Pulaski,15.1
Robertson,12.5
Rockcastle,10.9
Rowan,23.8
Russell,11.9
Scott,27.9
Shelby,23.8
Simpson,14.8
Spencer,16.6
Taylor,15.1
Todd,9.4
Trigg,18.4
Trimble,16.1
Union,11.4
Warren,28.4
Washington,15.6
Wayne,9.8
Webster,8.4
Whitley,13.4
Wolfe,11.8
Woodford,31.6
