County,Value
Adair,405.28
Allen,344.34
Anderson,201.83
Ballard,246.66
Barren,487.54
Bath,278.79
Bell,359
Boone,246.36
Bourbon,289.72
Boyd,159.86
Boyle,180.17
Bracken,205.61
Breathitt,492.41
Breckinridge,567.17
Bullitt,297.02
Butler,426.09
Caldwell,344.79
Calloway,385.02
Campbell,151.31
Carlisle,189.43
Carroll,128.57
Carter,409.5
Casey,444.23
Christian,717.5
Clark,252.46
Clay,469.25
Clinton,197.25
Crittenden,359.95
Cumberland,305.18
Daviess,458.35
Edmonson,302.88
Elliott,234.32
Estill,253.08
Fayette,283.65
Fleming,348.54
Floyd,393.35
Franklin,207.75
Fulton,205.5
Gallatin,101.23
Garrard,230.08
Grant,257.97
Graves,551.74
Grayson,496.7
Green,286.03
Greenup,344.4
Hancock,187.65
Hardin,623.28
Harlan,465.83
Harrison,306.36
Hart,412.09
Henderson,436.67
Henry,286.28
Hickman,242.27
Hopkins,542
Jackson,345.2
Jefferson,380.42
Jessamine,172.12
Johnson,261.95
Kenton,160.25
Knott,351.52
Knox,386.3
Larue,261.52
Laurel,433.95
Lawrence,415.6
Lee,208.86
Leslie,400.84
Letcher,337.91
Lewis,482.84
Lincoln,334.1
Livingston,313.13
Logan,552.13
Lyon,213.84
Madison,437.29
Magoffin,308.44
Marion,343.01
Marshall,301.25
Martin,229.61
Mason,240.13
McCracken,248.74
McCreary,426.8
McLean,252.47
Meade,305.42
Menifee,203.59
Mercer,248.8
Metcalfe,289.65
Monroe,329.37
Montgomery,197.37
Morgan,381.13
Muhlenberg,467.08
Nelson,417.51
Nicholas,195.17
Ohio,587.27
Oldham,187.22
Owen,351.1
Owsley,197.41
Pendleton,277.16
Perry,339.67
Pike,786.83
Powell,178.98
Pulaski,658.41
Robertson,99.91
Rockcastle,316.55
Rowan,279.8
Russell,253.66
Scott,281.77
Shelby,379.64
Simpson,234.2
Spencer,186.68
Taylor,266.33
Todd,374.5
Trigg,441.43
Trimble,151.65
Union,342.85
Warren,541.6
Washington,297.27
Wayne,458.17
Webster,331.94
Whitley,437.83
Wolfe,222.17
Woodford,188.78
