Geography,Population Estimate (as of July 1) - 2015
"Adair County, Kentucky",19027
"Allen County, Kentucky",20640
"Anderson County, Kentucky",21979
"Ballard County, Kentucky",8212
"Barren County, Kentucky",43570
"Bath County, Kentucky",12228
"Bell County, Kentucky",27337
"Boone County, Kentucky",127712
"Bourbon County, Kentucky",20116
"Boyd County, Kentucky",48325
"Boyle County, Kentucky",29809
"Bracken County, Kentucky",8321
"Breathitt County, Kentucky",13484
"Breckinridge County, Kentucky",20018
"Bullitt County, Kentucky",78702
"Butler County, Kentucky",12938
"Caldwell County, Kentucky",12681
"Calloway County, Kentucky",38343
"Campbell County, Kentucky",92066
"Carlisle County, Kentucky",4874
"Carroll County, Kentucky",10699
"Carter County, Kentucky",27158
"Casey County, Kentucky",15808
"Christian County, Kentucky",73309
"Clark County, Kentucky",35757
"Clay County, Kentucky",21013
"Clinton County, Kentucky",10174
"Crittenden County, Kentucky",9183
"Cumberland County, Kentucky",6759
"Daviess County, Kentucky",99259
"Edmonson County, Kentucky",12007
"Elliott County, Kentucky",7648
"Estill County, Kentucky",14375
"Fayette County, Kentucky",314488
"Fleming County, Kentucky",14637
"Floyd County, Kentucky",37756
"Franklin County, Kentucky",50375
"Fulton County, Kentucky",6238
"Gallatin County, Kentucky",8636
"Garrard County, Kentucky",17237
"Grant County, Kentucky",24757
"Graves County, Kentucky",37421
"Grayson County, Kentucky",26221
"Green County, Kentucky",11010
"Greenup County, Kentucky",36068
"Hancock County, Kentucky",8692
"Hardin County, Kentucky",106439
"Harlan County, Kentucky",27703
"Harrison County, Kentucky",18763
"Hart County, Kentucky",18454
"Henderson County, Kentucky",46407
"Henry County, Kentucky",15620
"Hickman County, Kentucky",4612
"Hopkins County, Kentucky",46222
"Jackson County, Kentucky",13352
"Jefferson County, Kentucky",763623
"Jessamine County, Kentucky",51961
"Johnson County, Kentucky",23175
"Kenton County, Kentucky",165012
"Knott County, Kentucky",15693
"Knox County, Kentucky",31730
"Larue County, Kentucky",14241
"Laurel County, Kentucky",60094
"Lawrence County, Kentucky",15745
"Lee County, Kentucky",6752
"Leslie County, Kentucky",10711
"Letcher County, Kentucky",23123
"Lewis County, Kentucky",13682
"Lincoln County, Kentucky",24463
"Livingston County, Kentucky",9316
"Logan County, Kentucky",26910
"Lyon County, Kentucky",8306
"McCracken County, Kentucky",65018
"McCreary County, Kentucky",17878
"McLean County, Kentucky",9512
"Madison County, Kentucky",87824
"Magoffin County, Kentucky",12808
"Marion County, Kentucky",19365
"Marshall County, Kentucky",31101
"Martin County, Kentucky",12307
"Mason County, Kentucky",17099
"Meade County, Kentucky",27924
"Menifee County, Kentucky",6358
"Mercer County, Kentucky",21407
"Metcalfe County, Kentucky",9909
"Monroe County, Kentucky",10667
"Montgomery County, Kentucky",27608
"Morgan County, Kentucky",13275
"Muhlenberg County, Kentucky",31183
"Nelson County, Kentucky",45126
"Nicholas County, Kentucky",7131
"Ohio County, Kentucky",24216
"Oldham County, Kentucky",64875
"Owen County, Kentucky",10730
"Owsley County, Kentucky",4461
"Pendleton County, Kentucky",14408
"Perry County, Kentucky",27565
"Pike County, Kentucky",61792
"Powell County, Kentucky",12269
"Pulaski County, Kentucky",63782
"Robertson County, Kentucky",2138
"Rockcastle County, Kentucky",16942
"Rowan County, Kentucky",23892
"Russell County, Kentucky",17662
"Scott County, Kentucky",52420
"Shelby County, Kentucky",45632
"Simpson County, Kentucky",18006
"Spencer County, Kentucky",17894
"Taylor County, Kentucky",25420
"Todd County, Kentucky",12531
"Trigg County, Kentucky",14233
"Trimble County, Kentucky",8769
"Union County, Kentucky",15050
"Warren County, Kentucky",122851
"Washington County, Kentucky",12063
"Wayne County, Kentucky",20464
"Webster County, Kentucky",13170
"Whitley County, Kentucky",36129
"Wolfe County, Kentucky",7259
"Woodford County, Kentucky",25793
