"county","total","white","black","asian","other","hispanic","pct_non_white"
"Adair",19027,17771,550,61,278,367,6.6011
"Allen",20640,19651,219,64,279,427,4.7917
"Anderson",21979,20697,473,127,340,342,5.8328
"Ballard",8212,7649,263,22,178,100,6.8558
"Barren",43570,39502,1815,299,662,1292,9.3367
"Bath",12228,11690,175,24,180,159,4.3997
"Bell",27337,25797,657,103,529,251,5.6334
"Boone",127712,112693,3932,3357,2445,5285,11.7601
"Bourbon",20116,17047,1197,70,396,1406,15.2565
"Boyd",48325,45134,1402,251,802,736,6.6032
"Boyle",29809,25631,2310,273,660,935,14.0159
"Bracken",8321,8001,52,8,128,132,3.8457
"Breathitt",13484,13076,72,81,129,126,3.0258
"Breckinridge",20018,18931,431,68,330,258,5.4301
"Bullitt",78702,74718,889,466,1229,1400,5.0621
"Butler",12938,12179,86,34,143,496,5.8664
"Caldwell",12681,11531,712,43,200,195,9.0687
"Calloway",38343,34222,1560,921,624,1016,10.7477
"Campbell",92066,84834,2848,946,1710,1728,7.8552
"Carlisle",4874,4586,76,15,91,106,5.9089
"Carroll",10699,9505,190,49,218,737,11.1599
"Carter",27158,26255,186,70,316,331,3.325
"Casey",15808,14995,119,46,197,451,5.143
"Christian",73309,48791,15171,1217,2661,5469,33.4447
"Clark",35757,32225,1790,166,507,1069,9.8778
"Clay",21013,19475,865,34,235,404,7.3193
"Clinton",10174,9657,60,29,144,284,5.0816
"Crittenden",9183,8862,90,20,145,66,3.4956
"Cumberland",6759,6379,182,10,107,81,5.6221
"Daviess",99259,88501,4870,975,2045,2868,10.8383
"Edmonson",12007,11484,214,30,159,120,4.3558
"Elliott",7648,7222,264,13,64,85,5.5701
"Estill",14375,14047,47,14,135,132,2.2817
"Fayette",314488,226849,45754,12171,7948,21766,27.8672
"Fleming",14637,14044,222,40,146,185,4.0514
"Floyd",37756,36729,370,87,301,269,2.7201
"Franklin",50375,41162,5471,1005,1197,1540,18.2888
"Fulton",6238,4437,1472,48,175,106,28.8714
"Gallatin",8636,7834,146,30,151,475,9.2867
"Garrard",17237,16224,365,48,212,388,5.8769
"Grant",24757,23378,236,101,400,642,5.5701
"Graves",37421,32599,1693,146,751,2232,12.8858
"Grayson",26221,25176,315,68,331,331,3.9854
"Green",11010,10408,243,24,176,159,5.4678
"Greenup",36068,34679,320,188,485,396,3.8511
"Hancock",8692,8333,98,27,100,134,4.1302
