County,Precinct count,Dem,Rep,Other,Ind,Libert,Green,Const,Reform,Soc Wk,Male,Female,Registered
,,,,,,,,,,,,,
001  ADAIR,16,3819,9054,445,313,19,3,1,0,0,6550,7104,13654
002  ALLEN,13,4793,8634,727,249,23,8,2,0,1,6868,7569,14437
003  ANDERSON,14,9805,6763,801,401,32,9,1,1,0,8506,9306,17813
004  BALLARD,13,4473,1621,210,84,11,3,3,0,0,3084,3321,6405
005  BARREN,25,16334,12529,1034,884,58,20,9,5,0,14523,16349,30873
006  BATH,12,7214,1621,323,81,5,2,0,1,0,4461,4786,9247
007  BELL,30,9187,10867,946,115,6,2,0,1,0,9959,11165,21124
008  BOONE,62,32279,53283,8969,3643,386,56,25,2,5,47516,51131,98648
009  BOURBON,16,9184,4482,586,351,34,8,1,0,1,6903,7744,14647
010  BOYD,46,21318,14503,1625,1666,102,17,6,1,0,18480,20758,39238
011  BOYLE,25,11665,8329,1086,514,39,9,2,0,1,10061,11582,21645
012  BRACKEN,8,4476,1534,202,79,5,2,0,0,0,3084,3214,6298
013  BREATHITT,21,10353,1022,223,92,7,1,0,0,0,5789,5909,11698
014  BRECKINRIDGE,16,7007,7031,524,389,25,3,1,0,0,7335,7645,14980
015  BULLITT,48,27041,25541,3854,1438,151,30,17,1,0,27956,30116,58073
016  BUTLER,12,2176,6872,165,158,17,5,1,0,0,4534,4859,9394
017  CALDWELL,13,6763,2752,344,188,8,3,0,0,1,4740,5318,10059
018  CALLOWAY,29,16828,9654,1888,796,80,16,5,0,1,13726,15542,29268
019  CAMPBELL,67,29685,32747,5467,3418,300,68,10,5,11,33922,37782,71711
020  CARLISLE,6,2883,1016,109,25,3,2,0,0,1,1927,2112,4039
021  CARROLL,11,5866,1441,392,108,9,3,3,1,0,3789,4034,7825
022  CARTER,26,11170,7343,870,418,28,6,2,0,0,9538,10299,19837
023  CASEY,15,1948,8631,118,214,18,0,5,0,0,5275,5659,10934
024  CHRISTIAN,41,27367,17973,3453,1266,147,30,29,3,2,22555,27715,50270
025  CLARK,26,15097,10464,1739,672,74,9,2,0,0,13274,14783,28057
026  CLAY,20,1936,12338,214,154,8,4,1,0,0,7138,7517,14655
027  CLINTON,13,1252,6106,70,52,2,2,1,0,0,3600,3885,7485
028  CRITTENDEN,12,2890,3307,325,176,9,2,1,0,1,3233,3478,6711
029  CUMBERLAND,10,832,4376,131,59,5,2,0,0,0,2585,2820,5405
030  DAVIESS,86,40876,26232,3948,1453,159,32,9,2,7,33950,38766,72718
031  EDMONSON,8,2793,5843,288,139,8,6,3,1,0,4493,4588,9081
032  ELLIOTT,7,4581,429,139,54,7,3,1,0,0,2595,2619,5214
033  ESTILL,15,4177,5769,435,183,10,5,0,1,0,5156,5424,10580
034  FAYETTE,291,116353,83105,15546,8495,816,207,21,1,8,103893,120659,224552
035  FLEMING,18,6620,3533,448,116,7,2,0,0,0,5134,5591,10726
036  FLOYD,42,25310,4118,329,633,31,6,2,0,2,14761,15670,30431
037  FRANKLIN,44,25302,9066,1466,830,65,25,13,1,0,16813,19935,36768
038  FULTON,11,3880,1165,392,36,0,2,2,0,0,2354,3123,5477
039  GALLATIN,8,3857,2061,347,128,11,3,0,0,0,3116,3291,6407
040  GARRARD,14,4058,7749,892,246,9,3,1,0,1,6267,6690,12959
041  GRANT,22,8426,7412,1441,420,30,5,3,0,0,8635,9102,17737
042  GRAVES,30,16622,7673,889,349,42,8,3,0,0,12065,13521,25586
043  GRAYSON,22,5692,11395,805,313,19,5,3,1,2,8739,9496,18235
044  GREEN,10,3087,5275,293,95,5,0,1,0,0,4195,4561,8756
045  GREENUP,29,16078,10898,1399,792,47,10,7,1,1,13826,15406,29233
046  HANCOCK,10,3934,2408,268,107,15,0,2,0,0,3288,3445,6734
047  HARDIN,60,38466,33084,6031,2224,228,44,28,4,0,37460,42649,80109
048  HARLAN,32,13573,6430,422,207,21,4,5,0,1,9931,10731,20663
049  HARRISON,19,8670,4056,493,268,17,2,2,1,0,6417,7092,13509
050  HART,19,7812,4618,507,237,23,9,1,0,0,6330,6877,13207
051  HENDERSON,45,22945,9348,1831,530,56,16,9,0,2,16145,18588,34737
052  HENRY,20,6941,4238,482,230,27,4,1,0,0,5812,6111,11923
053  HICKMAN,6,2494,1055,130,41,4,0,1,0,0,1724,2001,3725
054  HOPKINS,50,21310,11302,1284,715,64,8,4,2,0,16232,18457,34689
055  JACKSON,14,1332,8276,291,113,6,3,0,0,0,4936,5085,10021
056  JEFFERSON,623,333872,192292,36782,17300,1461,421,54,5,18,268280,313923,582205
057  JESSAMINE,36,16488,19235,2550,1027,81,9,9,3,3,18447,20958,39405
058  JOHNSON,31,6881,10172,595,254,13,5,0,2,0,8620,9302,17922
059  KENTON,106,51295,58603,12367,5435,484,104,17,3,2,60917,67391,128310
060  KNOTT,30,10020,1008,162,110,9,0,0,0,0,5457,5852,11309
061  KNOX,30,7277,15923,676,288,29,4,0,0,2,11598,12601,24199
062  LARUE,12,6138,3589,516,169,19,2,3,0,1,4955,5482,10437
063  LAUREL,45,10760,32937,1551,904,74,12,8,1,0,22237,24008,46247
064  LAWRENCE,18,6234,5386,535,262,10,4,0,0,0,6082,6347,12431
065  LEE,10,1862,3168,130,73,7,2,2,1,0,2550,2695,5245
066  LESLIE,17,984,7299,155,99,5,4,0,0,0,4109,4436,8546
067  LETCHER,30,11459,4385,438,195,14,0,1,0,0,7801,8691,16492
068  LEWIS,14,2385,7291,297,176,8,2,2,1,0,5028,5131,10162
069  LINCOLN,17,8459,8343,800,308,22,5,3,0,0,8575,9365,17940
070  LIVINGSTON,10,5009,2141,305,124,10,1,1,0,0,3704,3887,7591
071  LOGAN,20,11145,5458,915,263,22,5,1,0,0,8162,9647,17809
072  LYON,6,4165,1836,275,102,3,2,2,0,0,3119,3266,6385
073  MCCRACKEN,54,29336,19646,2983,1581,123,32,8,6,1,24623,29092,53716
074  MCCREARY,18,2918,7664,347,231,9,1,2,0,0,5426,5746,11172
075  MCLEAN,8,4443,2194,283,85,6,2,0,1,0,3399,3615,7014
076  MADISON,45,30365,26715,4101,2131,205,61,18,2,6,29714,33890,63604
077  MAGOFFIN,14,6805,3096,73,87,4,1,0,0,1,4996,5071,10067
078  MARION,17,10001,2618,352,142,12,0,0,0,0,6225,6900,13125
079  MARSHALL,25,16106,7885,817,615,54,6,3,1,0,12266,13221,25487
080  MARTIN,14,2174,5936,116,62,2,2,0,0,0,4069,4222,8292
081  MASON,16,7819,4147,734,325,27,9,0,0,0,6107,6952,13061
082  MEADE,19,11009,8360,1171,593,52,5,4,1,1,10190,11006,21196
083  MENIFEE,6,3928,1093,219,95,7,2,0,0,0,2688,2656,5344
084  MERCER,17,9657,6720,533,528,43,9,2,0,1,8357,9136,17493
085  METCALFE,12,3961,3313,273,161,7,2,2,0,0,3743,3976,7719
086  MONROE,12,1139,7134,206,80,3,1,0,0,1,4163,4401,8564
087  MONTGOMERY,18,13180,5927,688,432,28,7,3,0,0,9598,10667,20265
088  MORGAN,12,7648,1214,166,71,8,0,2,1,0,4480,4630,9110
089  MUHLENBERG,25,15724,5725,958,285,28,5,1,1,1,10883,11845,22728
090  NELSON,24,19142,10940,2282,609,66,11,1,0,4,15738,17317,33055
091  NICHOLAS,5,4136,1014,216,66,5,1,0,0,0,2647,2790,5438
092  OHIO,19,7830,8558,816,241,19,4,1,2,1,8430,9042,17472
093  OLDHAM,38,16873,27763,3550,1745,206,24,6,2,0,24297,25869,50169
094  OWEN,12,5135,2477,312,152,5,1,2,1,0,4005,4080,8085
095  OWSLEY,8,960,2520,66,18,1,0,0,0,1,1747,1819,3566
096  PENDLETON,12,5548,3953,588,251,27,3,5,0,1,5104,5272,10376
097  PERRY,37,14830,5278,359,310,15,5,1,1,0,10009,10789,20799
098  PIKE,57,33286,13273,1904,600,38,20,4,1,3,23969,25160,49129
099  POWELL,11,6740,2721,336,113,13,3,1,0,0,4805,5122,9927
100  PULASKI,56,11227,32759,2433,876,93,9,6,2,1,22447,24957,47406
101  ROBERTSON,5,1331,340,54,18,2,1,0,0,0,889,857,1746
102  ROCKCASTLE,15,2309,9419,377,248,9,5,0,2,1,5945,6425,12370
103  ROWAN,18,9292,4488,630,415,39,10,0,2,2,7008,7866,14878
104  RUSSELL,16,2960,10397,332,302,22,2,0,1,0,6725,7291,14016
105  SCOTT,46,18485,17077,2037,996,103,12,9,0,2,18642,20079,38721
106  SHELBY,34,14994,13938,1572,961,75,21,2,3,1,14891,16676,31567
107  SIMPSON,13,8016,4388,866,288,22,1,2,0,0,6344,7239,13583
108  SPENCER,14,6459,6740,625,385,31,2,2,0,0,7077,7166,14244
109  TAYLOR,20,7789,9403,643,321,19,8,2,0,0,8472,9712,18185
110  TODD,13,5765,2210,317,90,16,3,0,0,0,3979,4422,8401
111  TRIGG,15,6202,4658,458,341,27,2,1,0,0,5641,6047,11689
112  TRIMBLE,12,5060,1734,317,84,8,3,0,0,0,3546,3660,7206
113  UNION,16,7768,2032,387,86,10,1,1,0,0,4994,5291,10285
114  WARREN,121,40614,32765,4359,2376,259,64,14,1,2,37155,43296,80454
115  WASHINGTON,14,5246,3043,253,114,5,2,4,0,0,4135,4532,8667
116  WAYNE,19,5137,8946,511,161,14,0,0,0,1,7170,7600,14770
117  WEBSTER,14,6957,2243,363,110,13,1,1,0,0,4647,5041,9688
118  WHITLEY,36,6232,19137,879,506,33,8,3,0,0,12917,13880,26798
119  WOLFE,8,4767,638,152,40,2,2,0,0,0,2756,2845,5601
120  WOODFORD,19,10923,7917,1027,592,61,5,0,0,0,9586,10939,20525
,,,,,,,,,,,,,
Statewide totals,3732,1693489,1339594,179726,84965,7485,1698,466,83,107,1561463,1746069,3307615
