"tot_votes","paul_pct","County","per_capita_income","pop_dens","pop_2015","pct_bachelor_deg","pct_reg_repubs","pct_reg_males","pct_65_and_older","log_pop_2015","coal_2015_pct_chg","region","senate_dist","pct_non_white","outcome","fitted","resids"
7969,73.9992,"Adair",26876,46.9478,19027,13.9,0.6631,0.4797,35.3584,9.8536,0,21001,"other",6.6011,"w",69.4399788917768,4.55922110822319
7919,75.502,"Allen",29847,59.9408,20640,12.7,0.598,0.4757,32.5952,9.935,0,21003,"other",4.7917,"w",68.7738546960397,6.72814530396033
11385,60.6939,"Anderson",36834,108.8986,21979,20.4,0.3797,0.4775,30.6094,9.9978,0,21005,"other",5.8328,"w",61.018502821115,-0.324602821115016
4092,66.5934,"Ballard",35717,33.2928,8212,13.1,0.2531,0.4815,81.9246,9.0134,0,21007,"other",6.8558,"w",61.4172662342308,5.1761337657692
18336,59.315,"Barren",35361,89.367,43570,14.7,0.4058,0.4704,15.441,10.6821,0,21009,"other",9.3367,"w",62.8777085016997,-3.56270850169968
4478,51.8982,"Bath",29076,43.861,12228,12,0.1753,0.4824,55.0184,9.4115,0,21011,"other",4.3997,"w",56.3682390833899,-4.47003908338989
9275,71.558,"Bell",29042,76.1476,27337,10.8,0.5144,0.4715,24.6101,10.216,-11.97,21013,"other",5.6334,"w",66.3026764398341,5.25532356016593
57335,73.3095,"Boone",42645,518.3958,127712,30.4,0.5401,0.4817,5.2678,11.7575,0,21015,"other",11.7601,"w",61.0589911301578,12.2505088698422
8761,50.3481,"Bourbon",38638,69.4326,20116,15.8,0.306,0.4713,33.4443,9.9093,0,21017,"other",15.2565,"w",61.4005856421128,-11.0524856421128
20266,52.9458,"Boyd",35941,302.2958,48325,16.3,0.3696,0.471,13.9217,10.7857,0,21019,"other",6.6032,"w",61.0014600491533,-8.05566004915328
12919,54.0444,"Boyle",34660,165.4493,29809,22.8,0.3848,0.4648,22.5692,10.3026,0,21021,"other",14.0159,"w",58.5274830046668,-4.48308300466675
3452,72.0742,"Bracken",33058,40.4698,8321,14.2,0.2436,0.4897,80.8515,9.0265,0,21023,"other",3.8457,"w",59.8890998687401,12.1851001312599
5526,51.6468,"Breathitt",29968,27.3837,13484,9.8,0.0874,0.4949,49.8936,9.5093,-72.23,21025,"other",3.0258,"w",55.6604637351969,-4.01366373519692
8646,62.607,"Breckinridge",33108,35.2945,20018,9.4,0.4694,0.4897,33.608,9.9044,0,21027,"other",5.4301,"w",68.0033222759539,-5.39632227595395
35641,64.5941,"Bullitt",36362,264.9721,78702,12.7,0.4398,0.4814,8.5483,11.2734,0,21029,"other",5.0621,"w",64.6548656089982,-0.0607656089982276
5499,73.7407,"Butler",32054,30.3645,12938,8.2,0.7315,0.4826,51.9991,9.4679,0,21031,"other",5.8664,"w",76.6636862835795,-2.92298628357946
5924,65.6144,"Caldwell",33734,36.7789,12681,16.8,0.2736,0.4712,53.053,9.4479,0,21033,"fourth",9.0687,"w",58.6104313892385,7.0039686107615
16002,61.5423,"Calloway",33387,99.587,38343,27.7,0.3298,0.469,17.546,10.5543,0,21035,"other",10.7477,"w",53.9993567540214,7.54294324597861
42344,64.7506,"Campbell",43164,608.4595,92066,28.5,0.4567,0.473,7.3074,11.4303,0,21037,"other",7.8552,"w",59.8494867189116,4.90111328108841
2582,70.2169,"Carlisle",40684,25.7298,4874,15.5,0.2515,0.4771,138.0314,8.4917,0,21039,"other",5.9089,"w",63.1686764414201,7.04822355857988
3818,57.4384,"Carroll",44329,83.2154,10699,9.5,0.1842,0.4842,62.8811,9.2779,0,21041,"other",11.1599,"w",63.7551922362378,-6.31679223623777
10068,56.0191,"Carter",29976,66.3199,27158,10.4,0.3702,0.4808,24.7723,10.2094,0,21043,"other",3.325,"w",62.5651867213394,-6.54608672133944
6307,75.9315,"Casey",28153,35.5852,15808,8.4,0.7894,0.4824,42.5585,9.6683,0,21045,"other",5.143,"w",76.6781840882749,-0.746684088274915
21749,64.711,"Christian",37011,102.1728,73309,15.1,0.3575,0.4487,9.1771,11.2024,0,21047,"other",33.4447,"w",60.431411599311,4.27958840068904
