"County","tr_pct","per_capita_income","pop_dens","pop_2015","pct_bachelor_deg","pct_reg_repubs","pct_reg_males","pct_65_and_older","outcome","log_pop_2015","coal_2015_pct_chg","region","senate_dist","tot_votes","pct_non_white","fitted","resids"
"Adair",80.6342,26876,46.9478,19027,13.9,0.6631,0.4797,35.3584,"w",9.8536,0,21001,"other",8231,6.6011,79.1045669096581,1.52963309034191
"Allen",79.916,29847,59.9408,20640,12.7,0.598,0.4757,32.5952,"w",9.935,0,21003,"other",8091,4.7917,78.8890751244734,1.02692487552657
"Anderson",72.1716,36834,108.8986,21979,20.4,0.3797,0.4775,30.6094,"w",9.9978,0,21005,"other",11420,5.8328,69.8433258583257,2.32827414167431
"Ballard",77.0788,35717,33.2928,8212,13.1,0.2531,0.4815,81.9246,"w",9.0134,0,21007,"other",4101,6.8558,72.472834845052,4.60596515494797
"Barren",72.9481,35361,89.367,43570,14.7,0.4058,0.4704,15.441,"w",10.6821,0,21009,"other",18483,9.3367,72.2411287306079,0.706971269392071
"Bath",67.2485,29076,43.861,12228,12,0.1753,0.4824,55.0184,"w",9.4115,0,21011,"other",4583,4.3997,72.2483999904049,-4.99989999040485
"Bell",79.893,29042,76.1476,27337,10.8,0.5144,0.4715,24.6101,"w",10.216,-11.97,21013,"other",9718,5.6334,77.953469894382,1.939530105618
"Boone",67.8861,42645,518.3958,127712,30.4,0.5401,0.4817,5.2678,"w",11.7575,0,21015,"other",57570,11.7601,62.0044427474332,5.8816572525668
"Bourbon",63.3201,38638,69.4326,20116,15.8,0.306,0.4713,33.4443,"w",9.9093,0,21017,"other",8795,15.2565,68.239709006674,-4.91960900667403
"Boyd",66.4467,35941,302.2958,48325,16.3,0.3696,0.471,13.9217,"w",10.7857,0,21019,"other",20454,6.6032,69.9529127187395,-3.50621271873948
"Boyle",62.1425,34660,165.4493,29809,22.8,0.3848,0.4648,22.5692,"w",10.3026,0,21021,"other",12938,14.0159,65.2602923303581,-3.11779233035814
"Bracken",76.8642,33058,40.4698,8321,14.2,0.2436,0.4897,80.8515,"w",9.0265,0,21023,"other",3527,3.8457,72.8150663044206,4.04913369557941
"Breathitt",69.5902,29968,27.3837,13484,9.8,0.0874,0.4949,49.8936,"w",9.5093,-72.23,21025,"other",5735,3.0258,73.1114803156432,-3.52128031564317
"Breckinridge",73.9254,33108,35.2945,20018,9.4,0.4694,0.4897,33.608,"w",9.9044,0,21027,"other",8771,5.4301,78.6538214505171,-4.72842145051712
"Bullitt",72.6965,36362,264.9721,78702,12.7,0.4398,0.4814,8.5483,"w",11.2734,0,21029,"other",36054,5.0621,74.1797305565682,-1.48323055656821
"Butler",79.4118,32054,30.3645,12938,8.2,0.7315,0.4826,51.9991,"w",9.4679,0,21031,"other",5576,5.8664,84.0112049683879,-4.59940496838788
"Caldwell",75.431,33734,36.7789,12681,16.8,0.2736,0.4712,53.053,"w",9.4479,0,21033,"fourth",5975,9.0687,69.5709809829462,5.86001901705376
"Calloway",64.612,33387,99.587,38343,27.7,0.3298,0.469,17.546,"w",10.5543,0,21035,"other",16045,10.7477,63.130668612806,1.48133138719399
"Campbell",58.9564,43164,608.4595,92066,28.5,0.4567,0.473,7.3074,"w",11.4303,0,21037,"other",42489,7.8552,61.9118046188331,-2.95540461883309
"Carlisle",80.5075,40684,25.7298,4874,15.5,0.2515,0.4771,138.0314,"w",8.4917,0,21039,"other",2601,5.9089,71.8215366194218,8.6859633805782
"Carroll",67.1336,44329,83.2154,10699,9.5,0.1842,0.4842,62.8811,"w",9.2779,0,21041,"other",3855,11.1599,71.2147503576391,-4.08115035763914
"Carter",73.8466,29976,66.3199,27158,10.4,0.3702,0.4808,24.7723,"w",10.2094,0,21043,"other",10274,3.325,76.4914356292282,-2.64483562922819
"Casey",85.1374,28153,35.5852,15808,8.4,0.7894,0.4824,42.5585,"w",9.6683,0,21045,"other",6439,5.143,85.1119508477859,0.0254491522141346
"Christian",63.8862,37011,102.1728,73309,15.1,0.3575,0.4487,9.1771,"w",11.2024,0,21047,"other",22083,33.4447,62.8437512573129,1.04244874268708
"Clark",66.103,37244,141.6343,35757,19.4,0.373,0.4731,18.8149,"w",10.4845,0,21049,"other",16202,9.8778,68.5308924484058,-2.4278924484058
"Clay",86.6371,26608,44.78,21013,9,0.8419,0.4871,32.0166,"w",9.9529,-97.77,21051,"other",6765,7.3193,85.6198249427657,1.01727505723429
"Clinton",85.4419,28825,51.5792,10174,7,0.8158,0.481,66.1259,"w",9.2276,0,21053,"other",4458,5.0816,86.4546342772699,-1.01273427726994
"Crittenden",81.4962,34585,25.5119,9183,11.4,0.4928,0.4817,73.262,"w",9.1251,0,21055,"fourth",4037,3.4956,78.8246638930445,2.67153610695549
"Cumberland",81.6047,30967,22.1476,6759,13.9,0.8096,0.4783,99.5362,"w",8.8186,0,21057,"other",3066,5.6221,82.7786282824966,-1.17392828249661
"Daviess",63.1419,40032,216.5572,99259,18.8,0.3607,0.4669,6.7779,"w",11.5055,-17.46,21059,"other",45781,10.8383,67.5722107832881,-4.4303107832881
"Edmonson",78.8972,29588,39.6428,12007,9.8,0.6434,0.4948,56.0311,"w",9.3932,0,21061,"other",5241,4.3558,82.3016143163304,-3.40441431633039
