"County","Trump_Actual","Trump_Pred","Difference"
"Adair",0.81,0.794414215153202,0.0155857848467981
"Allen",0.8,0.777652039820895,0.022347960179105
"Anderson",0.72,0.682401697799184,0.0375983022008159
"Ballard",0.77,0.723009271337806,0.046990728662194
"Barren",0.73,0.723966590222868,0.00603340977713196
"Bath",0.67,0.711649356841618,-0.041649356841618
"Bell",0.8,0.773525935712347,0.0264740642876531
"Boone",0.68,0.620743959337384,0.059256040662616
"Bourbon",0.63,0.698180904394259,-0.0681809043942589
"Boyd",0.66,0.698494275370886,-0.038494275370886
"Boyle",0.62,0.66130094191945,-0.04130094191945
"Bracken",0.77,0.715091289352847,0.054908710647153
"Breathitt",0.7,0.726862219248013,-0.026862219248013
"Breckinridge",0.74,0.80016269491868,-0.06016269491868
"Bullitt",0.73,0.737142513055002,-0.00714251305500202
"Butler",0.79,0.841145961032085,-0.051145961032085
"Caldwell",0.75,0.693701077238826,0.056298922761174
"Calloway",0.65,0.628620964459395,0.0213790355406051
"Campbell",0.59,0.606819804465316,-0.0168198044653161
"Carlisle",0.81,0.699343926133795,0.110656073866205
"Carroll",0.67,0.71358805047334,-0.0435880504733399
"Carter",0.74,0.760852196717624,-0.0208521967176241
"Casey",0.85,0.859990451445038,-0.00999045144503807
"Christian",0.64,0.660024536310473,-0.020024536310473
"Clark",0.66,0.687472682840186,-0.027472682840186
"Clay",0.87,0.856026726875263,0.013973273124737
"Clinton",0.85,0.861707496530691,-0.011707496530691
"Crittenden",0.81,0.779491960923607,0.0305080390763931
"Cumberland",0.82,0.822327466960857,-0.00232746696085706
"Daviess",0.63,0.67365432983298,-0.04365432983298
"Edmonson",0.79,0.842894352038093,-0.052894352038093
"Elliott",0.7,0.75293483223775,-0.0529348322377501
"Estill",0.76,0.812901528485576,-0.0529015284855759
"Fayette",0.42,0.451040997226385,-0.031040997226385
"Fleming",0.75,0.731666902106932,0.018333097893068
"Floyd",0.73,0.706753495644483,0.023246504355517
"Franklin",0.5,0.590297460839873,-0.090297460839873
"Fulton",0.65,0.638237952060781,0.011762047939219
"Gallatin",0.73,0.744464187976764,-0.014464187976764
"Garrard",0.77,0.774392397574434,-0.00439239757443399
"Grant",0.76,0.756957420868735,0.00304257913126504
"Graves",0.76,0.696504284402585,0.063495715597415
"Grayson",0.78,0.80908905750394,-0.02908905750394
"Green",0.82,0.796037181907608,0.023962818092392
"Greenup",0.71,0.722069430580421,-0.012069430580421
"Hancock",0.65,0.751037212725429,-0.101037212725429
"Hardin",0.63,0.665160525303113,-0.035160525303113
