State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,Footnote
AK,27032,"MAXIM HEALTHCARE SERVICES, INC","711 H STREET, SUITE 100",ANCHORAGE,99501,9077700862,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8/23/06, 
AK,27024,HOME BASED SERVICES,4160 TUDOR CENTRE DRIVE,ANCHORAGE,99508,9077292490,Other,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,7/17/96, 
AK,27001,PROVIDENCE IN HOME SERVICES,"4001 DALE STREET, SUITE 101",ANCHORAGE,99508,9075630130,Religious Affiliations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5/17/82, 
AK,27002,HOSPICE & HOME CARE OF JUNEAU,419 SIXTH STREET,JUNEAU,99801,9074633113,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12/27/82, 
AK,27006,FAIRBANKS MEMORIAL HOSPITAL HHA,"1302 21ST AVENUE, FLOOR 2",FAIRBANKS,99701,9074585410,Private,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9/19/85, 
AK,27007,SITKA COMMUNITY HOSPITAL HHA,209 MOLLER AVENUE,SITKA,99835,9077471750,Local,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,9/26/85, 
AK,27008,MAT-SU REGIONAL HOME CARE,"950 E BOGARD, STE 132",WASILLA,99654,9078616000,Proprietary,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1/22/87, 
AK,27009,PETERSBURG MEDICAL CENTER HOME,P.O. BOX 589,PETERSBURG,99833,9077724291,Local,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,7/21/87, 
AK,27010,SOUTH PENINSULA HOSPITAL HHA,4300 BARTLETT STREET,HOMER,99603,9072350369,Other,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2/20/90, 
AK,27014,PEACEHEALTH KETCHIKAN MEDICAL CENTER HOME HEALTH,126 WASHINGTON STREET,KETCHIKAN,99901,9072258914,Religious Affiliations,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3/4/93, 
